article,Text analysis/mining,Digital heritage and multimedia,Textual scholarship,Data preservation and  digital curation,DH discipline,NLP,Other
10.1007_s42803-019-00002-y,0.0046324068680403,0.8070470184902659,0.1330767422914505,0.0023162038996814,0.0007720679277554,0.00077206781134,0.051383448299020404
10.1007_s42803-019-00003-x,0.5143709088442846,0.11637338215950871,0.0008943903376348,0.0026831700233741,0.0008943899883888,0.0008943896973505,0.3638893287861719
10.1007_s42803-019-00005-9,0.0081566784065214,0.0027188931126146,0.0013594465563073,0.9823271904606369,0.0013594469055533,0.001359446439892,0.0027188931126146
10.1007_s42803-019-00006-8,0.0034423039760436997,0.17154634778853492,0.0005737174651585,0.6853795507922767,0.0005737174651585,0.0005737174069508,0.137910627061501
10.1007_s42803-019-00007-7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968
10.1007_s42803-019-00008-6,0.003074587206356,0.0010248625767415999,0.000512431259267,0.1391636385815216,0.8546872138977051,0.000512431259267,0.0010248625185339
10.1007_s42803-019-00010-y,0.0043627308332358,0.0014542439021168999,0.2145123183727264,0.00218136573676,0.7753080129623413,0.0007271218928508,0.0014542438439092
10.1007_s42803-019-00011-x,0.0048742062062953,0.1678219898021779,0.8216172456741333,0.0024371044710276,0.0008123682346194,0.0008123677107505,0.0016247355961239
10.1007_s42803-019-00012-w,0.0052118158782829,0.0017372719594276002,0.261933833360672,0.0026059079682453,0.0008686361834406,0.7259052991867065,0.0017372717265969999
10.1007_s42803-019-00013-9,0.0028418966685418,0.8729718040849548,0.0004736495611723,0.12181800091639139,0.000473649444757,0.0004736495029646,0.000947298714891
10.1007_s42803-019-00014-8,0.0031523745856245,0.0010507915867492,0.485971599817276,0.4645478794700465,0.0437012016773223,0.0005253957933746,0.0010507914121262
10.1007_s42803-019-00015-7,0.0069490541936828,0.0023163515143096,0.9826273918151855,0.0034745273878797,0.0011581761064007,0.0011581757571548,0.0023163517471402
10.1007_s42803-019-00016-6,0.006466745049692601,0.0021555817220359,0.9838331341743468,0.0032333731651305,0.0010777910938486,0.001077790861018,0.0021555820712819
10.1007_s42803-019-00017-5,0.0073551839450373,0.0024517284473403,0.3080600798130035,0.0036775921471415996,0.6747778058052063,0.0012258641654625,0.0024517277488484
10.1007_s42803-019-00018-4,0.005438227031845401,0.0018127426737918999,0.1375894695520401,0.0027191137196494997,0.8497213125228882,0.0009063713951036,0.0018127425573765
10.1007_s42803-019-00019-3,0.006152649060822801,0.0020508833695202,0.984618365764618,0.0030763257527722,0.0010254418011754,0.0010254415683448,0.0020508832531048998
10.1007_s42803-019-00020-w,0.0066999422851944995,0.0022333145607261002,0.5005833506584167,0.0033499712590125998,0.4837834239006042,0.0011166570475324,0.0022333140950648
10.1007_s42803-019-00021-9,0.4234144820948127,0.0016045192023738,0.5693651437759399,0.0024067795020526,0.0008022596011869,0.0008022597176022,0.0016045190859584999
10.1007_s42803-019-00023-7,0.9250751451472752,0.0018662579241207,0.0665266960859298,0.0027993872063233,0.0009331291075795,0.0009331291075795,0.0018662578659132
10.1007_s42803-019-00024-6,0.185497327125631,0.0019850371172651,0.642350435256958,0.0029775555012745,0.1642121225595474,0.0009925185004249,0.0019850367680191
10.1007_s42803-019-00025-5,0.1736206911737098,0.2487784544937312,0.5700563788414001,0.0032333345152436997,0.0010777785209938,0.0010777782881632,0.0021555565763264
10.1093_digitalsh_fqz013,0.0037148222909305995,0.0012382744462228,0.0006191371940076,0.0018574115238151,0.2942786812782288,0.6970533728599548,0.0012382742715998
10.1093_llc_15.1.109,0.5337196915643287,0.001421226072125,0.0848879516124725,0.0021318389917722,0.3757074475288391,0.0007106131524778,0.0014212260139174
10.1093_llc_15.1.115,0.10452428174903579,0.0019245643634348,0.8868151903152466,0.0028868459048679,0.0009622821235097,0.0009622817742638,0.0019245631992816001
10.1093_llc_15.1.15,0.1622952697798606,0.0026077586226164002,0.0013038794277235,0.0039116372354327,0.071387767791748,0.6277941465377808,0.1306995577178895
10.1093_llc_15.1.27,0.004522881936281599,0.3268308578408322,0.6633695363998413,0.0022614404442718003,0.000753813481424,0.0007538136560469,0.0015076270210556
10.1093_llc_15.1.43,0.0043132329592479,0.0014377444749698,0.989216923713684,0.0021566165960393,0.0007188721792772,0.0007188722374849,0.0014377441839314
10.1093_llc_15.1.5,0.26766605087323103,0.0014373578014783,0.72586590051651,0.0021560363820753003,0.0007186788716353,0.000718678929843,0.0014373578014783
10.1093_llc_15.1.51,0.0028862257022408,0.0009620749624446,0.0004810376558452,0.0014431125600821,0.0004810375394299,0.9927844405174256,0.0009620750206522
10.1093_llc_15.1.57,0.0064706663833926995,0.0021568884840234,0.4099153876304626,0.003235332551412,0.0010784446494653,0.5749863386154175,0.0021568883676081002
10.1093_llc_15.1.65,0.16168122045928582,0.0010171892936341,0.8337414264678955,0.0015257840277627,0.0005085947341285,0.0005085946759209,0.0010171892936339999
10.1093_llc_15.1.73,0.7278853458119554,0.2569595597451552,0.0018943873001262,0.0056831602705641,0.0018943873001262,0.0018943866016343,0.0037887732032686004
10.1093_llc_15.1.81,0.1738671138882635,0.0023597213439643,0.8155141472816467,0.0035395818995309996,0.0011798604391515,0.0011798607883974,0.0023597207618876997
10.1093_llc_15.1.93,0.0075030775042248,0.0025010259123518,0.981242299079895,0.0037515385774893,0.0012505128979682,0.0012505138292908,0.0025010253302752
10.1093_llc_15.2.121,0.9483015051810071,0.0015066340565681,0.0007533169118687,0.046425282955169594,0.0007533169118687,0.0007533169700764,0.0015066338237374
10.1093_llc_15.2.131,0.9895806733984499,0.0020838665077462003,0.0010419333120808,0.0031258001690728995,0.0010419331956654,0.0010419336613267,0.0020838665077462003
10.1093_llc_15.2.157,0.004414409981109001,0.0014714698190799,0.0007357352878898,0.0022072042920625,0.0007357349386438,0.9889639616012572,0.001471469644457
10.1093_llc_15.2.187,0.0081562420818952,0.0027187472442164002,0.0013593737967312,0.0040781206917017004,0.0013593733310699,0.8412549495697021,0.14107324206270272
10.1093_llc_15.2.199,0.006359380204230301,0.0021197978639974,0.0010598972439765,0.9862213272135703,0.0010598967783153,0.0010598965454846,0.0021197935566306
10.1093_llc_15.3.251,0.9943676003604194,0.0011264801723881,0.0005632400861941,0.0016897203167899,0.0005632400279864,0.0005632402608171,0.0011264801723882
10.1093_llc_15.3.291,0.6493865330703553,0.0017865682020782,0.0008932844502851,0.0026798524195326,0.0008932843338698,0.3425738513469696,0.0017865685513242
10.1093_llc_15.3.313,0.0039496791432609,0.0013165595591997999,0.0006582796922884,0.0019748393679036,0.0006582796922884,0.990125834941864,0.0013165592681616
10.1093_llc_15.3.323,0.9948751251213251,0.0010249820770694,0.0005124910385347,0.0015374733484349,0.0005124909221194,0.0005124912131577,0.0010249820770694999
10.1093_llc_15.3.339,0.2341020866297182,0.0009194471058435001,0.0004597234947141,0.7626798606943338,0.0004597235529217,0.0004597236111294,0.0009194470476358
10.1093_llc_15.4.403,0.0072130255866792,0.0024043417070059997,0.0012021710863336,0.0036065175663678,0.0012021709699183,0.001202170853503,0.9831696199253201
10.1093_llc_15.4.421,0.0085264284862203,0.0028421427123247,0.0014210714725777,0.0042632137192412,0.0014210714725777,0.9786839485168456,0.0028421427123248
10.1093_llc_15.4.433,0.9879785759840158,0.0024042838485909997,0.0012021418660879,0.0036064275773241,0.0012021422153338,0.0012021422153338,0.0024042837321757
10.1093_llc_15.4.445,0.5082467790343796,0.0009931023232638,0.4044369459152221,0.0014896538341417,0.0004965512198396,0.0833438709378242,0.0009931025560944
10.1093_llc_15.4.465,0.8889148355519862,0.0009333420894108,0.0004666710447054,0.0014000134251545,0.0004666710447054,0.106885127723217,0.0009333419147878001
10.1093_llc_16.1.29,0.006254604784771501,0.0020848680287599,0.0010424340143799,0.5431720189517363,0.0010424338979646,0.4443187713623047,0.0020848688436671
10.1093_llc_16.1.45,0.9221397730289026,0.0711910004029049,0.0008336477912962,0.0025009436067192,0.0008336477912962,0.0008336480823345,0.0016672955243847
10.1093_llc_16.1.5,0.005770873685832701,0.0019236243679187,0.2793326079845428,0.0028854367556049,0.0009618123294785,0.7072020769119263,0.0019236244261264
10.1093_llc_16.1.59,0.5667019434913525,0.0008400657388847,0.3459185063838959,0.001260098593775,0.0004200328839942,0.0840193033218383,0.0008400657388847
10.1093_llc_16.1.77,0.14118974941084142,0.0011066297302022,0.0005533148068934,0.7927372552803716,0.0005533148651011,0.0627530962228775,0.0011066296719945
10.1093_llc_16.1.99,0.8368561356328424,0.0010597977088764,0.1583747565746307,0.0015896967379375,0.0005298989708535,0.0005298990290611,0.001059797767084
10.1093_llc_16.2.121,0.0046320314868349005,0.0015440103597938,0.4929816126823425,0.002316015481483,0.4962103366851807,0.0007720052963122,0.0015440104762091
10.1093_llc_16.2.135,0.9933486471418289,0.0013302641455083,0.0006651320145465,0.0019953961600548,0.0006651320727542,0.0006651321309618,0.0013302639708854
10.1093_llc_16.2.153,0.5401339731761251,0.00114718277473,0.4547037184238434,0.0017207745695485,0.0005735914455726,0.0005735914455726,0.0011471830657683
10.1093_llc_16.2.161,0.0030504480237138,0.0010168161243199,0.4214460253715515,0.11365401570219531,0.4593074917793274,0.0005084081203676,0.0010168160079046
10.1093_llc_16.2.179,0.0035902466333933,0.0002949988265753,0.8861624002456665,0.0739036207960452,0.0356062687933445,0.0001474994060117,0.0002949987974715
10.1093_llc_16.2.189,0.2955564722651612,0.0010256475652567001,0.6707474589347839,0.0306191043346187,0.0005128239281475,0.0005128236953169,0.0010256475652567001
10.1093_llc_16.2.199,0.6522987654898315,0.0021562847541644,0.0010781424352899,0.3401542276842519,0.0010781424352899,0.0010781424352899,0.0021562851034104
10.1093_llc_16.3.205,0.6161540062166748,0.0013905565720051,0.0006952781695872,0.0020858349162152998,0.0006952782277949,0.0006952786352485,0.37828375911340106
10.1093_llc_16.3.233,0.6232073025312274,0.0016240957193075002,0.0008120480924844,0.0024361440446226,0.0008120482088997,0.0008120482088997,0.3702962637762538
