article,journal,author,affiliation,original_name,year,country,iso_a3,source_tag,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
no_id_1,CH Working Papers,Russon Wooldridge,University of Toronto,University of Toronto,2005,Canada,CAN,journal,0.0007190236356109,0.0021570710232479,0.0014380472712218,0.0007190237520262,0.0014380471548065,0.99280977708986,0.0007190239266492
no_id_10,CH Working Papers,Jennifer Roberts-Smith,University of Toronto,"Department of English, University of Toronto",2003,Canada,CAN,journal,0.0004253708175383,0.0012761125108225,0.0008507416932843001,0.0004253709630575,0.9940448129200375,0.0025522261857985,0.0004253710794728
no_id_11,CH Working Papers,Alexandra Pett,Mount Royal College,Mount Royal College,2000,,,journal,0.0005631382809951666,0.0016894148041804002,0.19511476496700195,0.0005631382033849667,0.0011262765231852335,0.1337134810940672,0.0005631382033849667
no_id_11,CH Working Papers,Patricia Rigg,Acadia University,Acadia University,2000,Canada,CAN,journal,0.0005631382809951666,0.0016894148041804002,0.19511476496700195,0.0005631382033849667,0.0011262765231852335,0.1337134810940672,0.0005631382033849667
no_id_11,CH Working Papers,Sabrina Reed,Mount Royal College,Mount Royal College,2000,,,journal,0.0005631382809951666,0.0016894148041804002,0.19511476496700195,0.0005631382033849667,0.0011262765231852335,0.1337134810940672,0.0005631382033849667
no_id_12,CH Working Papers,Chris Petter,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.0009061389913161334,0.0027184161202361,0.0018122774393607667,0.0009061382152140001,0.0018122771289199333,0.005436830765878066,0.3197412689526876
no_id_12,CH Working Papers,Linda Roberts,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.0009061389913161334,0.0027184161202361,0.0018122774393607667,0.0009061382152140001,0.0018122771289199333,0.005436830765878066,0.3197412689526876
no_id_12,CH Working Papers,Spencer Rose,University of Victoria,University of Victoria,2005,Canada,CAN,journal,0.0009061389913161334,0.0027184161202361,0.0018122774393607667,0.0009061382152140001,0.0018122771289199333,0.005436830765878066,0.3197412689526876
no_id_13,CH Working Papers,Katharine Patterson,Simon Fraser University,Simon Fraser University,2000,Canada,CAN,journal,0.00031271338229995,0.3209233532834332,0.0006254267645999,0.0003127134114038,0.0006254270556382,0.0018762800609691,0.17532406747341156
no_id_13,CH Working Papers,Katharine Patterson,University of British Columbia,University of British Columbia,2000,Canada,CAN,journal,0.00031271338229995,0.3209233532834332,0.0006254267645999,0.0003127134114038,0.0006254270556382,0.0018762800609691,0.17532406747341156
no_id_14,CH Working Papers,Martin Mueller,Northwestern University,Northwestern University,2005,United States,USA,journal,0.7072882652282715,0.017056664917618,0.0113711105659604,0.0056855552829802,0.0113711101002991,0.2415416780859231,0.0056855622678995
no_id_15,CH Working Papers,Murray McGillivray,University of Calgary,University of Calgary,2005,Canada,CAN,journal,0.0009773252531886,0.0029319765744729,0.0019546506227925003,0.7801463603973389,0.0019546508556230998,0.2110576924169433,0.0009773259516805
no_id_16,CH Working Papers,Willard McCarty,King's College London,King's College London,2003,United Kingdom,GBR,journal,0.0007191287004388,0.0021573862177318,0.6776778089115396,0.0293441973626613,0.0014382576337082999,0.2879441317636517,0.0007191288750618
no_id_17,CH Working Papers,Willard McCarty,King's College London,King's College London,2003,United Kingdom,GBR,journal,0.0013894949806854,0.9819366158917545,0.0027789896121247,0.0013894945150241,0.0027789892628788,0.0083369668573138,0.0013894945150241
