article,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
10.1007_s42803-019-00002-y,0.0007720679277554,0.0023162038996814,0.8070470184902659,0.00077206781134,0.051383448299020404,0.0046324068680403,0.1330767422914505
10.1007_s42803-019-00003-x,0.0008943899883888,0.0026831700233741,0.11637338215950871,0.0008943896973505,0.3638893287861719,0.5143709088442846,0.0008943903376348
10.1007_s42803-019-00005-9,0.00067972345277665,0.49116359523031844,0.0013594465563073,0.000679723219946,0.0013594465563073,0.0040783392032607,0.00067972327815365
10.1007_s42803-019-00006-8,0.00028685873257925,0.3426897753961384,0.08577317389426746,0.0002868587034754,0.0689553135307505,0.0017211519880218499,0.00028685873257925
10.1007_s42803-019-00007-7,0.03720508728708539,0.09715384883540014,0.0001465165654995571,7.32582744344e-05,0.00014651656549954285,0.0004395495468218,0.00769236737063953
10.1007_s42803-019-00008-6,0.12209817341395789,0.019880519797360222,0.00014640893953451423,7.320446560957142e-05,0.00014640893121912853,0.00043922674376514287,7.320446560957142e-05
10.1007_s42803-019-00010-y,0.7753080129623413,0.00218136573676,0.0014542439021168999,0.0007271218928508,0.0014542438439092,0.0043627308332358,0.2145123183727264
10.1007_s42803-019-00011-x,0.0004061841173097,0.0012185522355138,0.08391099490108896,0.00040618385537525,0.00081236779806195,0.00243710310314765,0.41080862283706665
10.1007_s42803-019-00012-w,0.0002895453944802,0.0008686359894151001,0.0005790906531425334,0.2419684330622355,0.0005790905755323333,0.0017372719594276333,0.08731127778689067
10.1007_s42803-019-00013-9,0.000473649444757,0.12181800091639139,0.8729718040849548,0.0004736495029646,0.000947298714891,0.0028418966685418,0.0004736495611723
10.1007_s42803-019-00014-8,0.0437012016773223,0.4645478794700465,0.0010507915867492,0.0005253957933746,0.0010507914121262,0.0031523745856245,0.485971599817276
10.1007_s42803-019-00015-7,0.00057908805320035,0.00173726369393985,0.0011581757571548,0.0005790878785774,0.0011581758735701,0.0034745270968414,0.4913136959075928
10.1007_s42803-019-00016-6,0.0010777910938486,0.0032333731651305,0.0021555817220359,0.001077790861018,0.0021555820712819,0.006466745049692601,0.9838331341743468
10.1007_s42803-019-00017-5,0.6747778058052063,0.0036775921471415996,0.0024517284473403,0.0012258641654625,0.0024517277488484,0.0073551839450373,0.3080600798130035
10.1007_s42803-019-00018-4,0.8497213125228882,0.0027191137196494997,0.0018127426737918999,0.0009063713951036,0.0018127425573765,0.005438227031845401,0.1375894695520401
10.1007_s42803-019-00019-3,0.0010254418011754,0.0030763257527722,0.0020508833695202,0.0010254415683448,0.0020508832531048998,0.006152649060822801,0.984618365764618
10.1007_s42803-019-00020-w,0.4837834239006042,0.0033499712590125998,0.0022333145607261002,0.0011166570475324,0.0022333140950648,0.0066999422851944995,0.5005833506584167
10.1007_s42803-019-00021-9,0.00040112980059345,0.0012033897510263,0.0008022596011869,0.0004011298588011,0.0008022595429792499,0.21170724104740635,0.28468257188796997
10.1007_s42803-019-00023-7,0.0009331291075795,0.0027993872063233,0.0018662579241207,0.0009331291075795,0.0018662578659132,0.9250751451472752,0.0665266960859298
10.1007_s42803-019-00024-6,0.0821060612797737,0.00148877775063725,0.00099251855863255,0.00049625925021245,0.00099251838400955,0.0927486635628155,0.321175217628479
10.1007_s42803-019-00025-5,0.0010777785209938,0.0032333345152436997,0.2487784544937312,0.0010777782881632,0.0021555565763264,0.1736206911737098,0.5700563788414001
10.1093_digitalsh_fqz013,0.1471393406391144,0.00092870576190755,0.0006191372231114,0.3485266864299774,0.0006191371357999,0.0018574111454652997,0.0003095685970038
10.1093_llc_15.1.109,0.3757074475288391,0.0021318389917722,0.001421226072125,0.0007106131524778,0.0014212260139174,0.5337196915643287,0.0848879516124725
10.1093_llc_15.1.115,0.0009622821235097,0.0028868459048679,0.0019245643634348,0.0009622817742638,0.0019245631992816001,0.10452428174903579,0.8868151903152466
10.1093_llc_15.1.27,0.000753813481424,0.0022614404442718003,0.3268308578408322,0.0007538136560469,0.0015076270210556,0.004522881936281599,0.6633695363998413
10.1093_llc_15.1.43,0.0007188721792772,0.0021566165960393,0.0014377444749698,0.0007188722374849,0.0014377441839314,0.0043132329592479,0.989216923713684
10.1093_llc_15.1.5,0.0007186788716353,0.0021560363820753003,0.0014373578014783,0.000718678929843,0.0014373578014783,0.26766605087323103,0.72586590051651
10.1093_llc_15.1.51,0.0004810375394299,0.0014431125600821,0.0009620749624446,0.9927844405174256,0.0009620750206522,0.0028862257022408,0.0004810376558452
10.1093_llc_15.1.57,0.0010784446494653,0.003235332551412,0.0021568884840234,0.5749863386154175,0.0021568883676081002,0.0064706663833926995,0.4099153876304626
10.1093_llc_15.1.73,0.0018943873001262,0.0056831602705641,0.2569595597451552,0.0018943866016343,0.0037887732032686004,0.7278853458119554,0.0018943873001262
10.1093_llc_15.1.81,0.0011798604391515,0.0035395818995309996,0.0023597213439643,0.0011798607883974,0.0023597207618876997,0.1738671138882635,0.8155141472816467
10.1093_llc_15.1.93,0.0012505128979682,0.0037515385774893,0.0025010259123518,0.0012505138292908,0.0025010253302752,0.0075030775042248,0.981242299079895
10.1093_llc_15.2.121,0.0007533169118687,0.046425282955169594,0.0015066340565681,0.0007533169700764,0.0015066338237374,0.9483015051810071,0.0007533169118687
10.1093_llc_15.2.157,0.0007357349386438,0.0022072042920625,0.0014714698190799,0.9889639616012572,0.001471469644457,0.004414409981109001,0.0007357352878898
10.1093_llc_15.2.199,0.00052994838915765,0.4931106636067851,0.0010598989319987,0.0005299482727423,0.0010598967783153,0.0031796901021151503,0.00052994862198825
10.1093_llc_15.4.433,0.0012021422153338,0.0036064275773241,0.0024042838485909997,0.0012021422153338,0.0024042837321757,0.9879785759840158,0.0012021418660879
10.1093_llc_15.4.445,0.0004965512198396,0.0014896538341417,0.0009931023232638,0.0833438709378242,0.0009931025560944,0.5082467790343796,0.4044369459152221
10.1093_llc_16.1.29,0.0003474779659882,0.18105733965057877,0.0006949560095866333,0.14810625712076822,0.0006949562812223666,0.0020848682615905003,0.00034747800479329995
10.1093_llc_16.1.45,0.0008336477912962,0.0025009436067192,0.0711910004029049,0.0008336480823345,0.0016672955243847,0.9221397730289026,0.0008336477912962
10.1093_llc_16.1.5,0.0009618123294785,0.0028854367556049,0.0019236243679187,0.7072020769119263,0.0019236244261264,0.005770873685832701,0.2793326079845428
10.1093_llc_16.1.59,0.0004200328839942,0.001260098593775,0.0008400657388847,0.0840193033218383,0.0008400657388847,0.5667019434913525,0.3459185063838959
10.1093_llc_16.1.77,0.00027665743255055,0.3963686276401858,0.0005533148651011,0.03137654811143875,0.00055331483599725,0.07059487470542071,0.0002766574034467
10.1093_llc_16.1.99,0.0005298989708535,0.0015896967379375,0.0010597977088764,0.0005298990290611,0.001059797767084,0.8368561356328424,0.1583747565746307
10.1093_llc_16.2.121,0.4962103366851807,0.002316015481483,0.0015440103597938,0.0007720052963122,0.0015440104762091,0.0046320314868349005,0.4929816126823425
10.1093_llc_16.2.135,0.00022171069091806667,0.0006651320533516001,0.00044342138183609995,0.00022171071032060002,0.0004434213236284667,0.33111621571394295,0.0002217106715155
10.1093_llc_16.2.153,0.0005735914455726,0.0017207745695485,0.00114718277473,0.0005735914455726,0.0011471830657683,0.5401339731761251,0.4547037184238434
10.1093_llc_16.2.161,0.2296537458896637,0.056827007851097656,0.00050840806215995,0.0002542040601838,0.0005084080039523,0.0015252240118569,0.21072301268577576
10.1093_llc_16.2.179,0.0356062687933445,0.0739036207960452,0.0002949988265753,0.0001474994060117,0.0002949987974715,0.0035902466333933,0.8861624002456665
10.1093_llc_16.2.189,0.0005128239281475,0.0306191043346187,0.0010256475652567001,0.0005128236953169,0.0010256475652567001,0.2955564722651612,0.6707474589347839
10.1093_llc_16.2.199,0.00053907121764495,0.17007711384212595,0.0010781423770822,0.00053907121764495,0.0010781425517052,0.32614938274491573,0.00053907121764495
10.1093_llc_16.3.205,0.00034763911389745,0.0010429174581076499,0.00069527828600255,0.00034763931762425,0.18914187955670053,0.3080770031083374,0.0003476390847936
10.1093_llc_16.3.233,0.0008120482088997,0.0024361440446226,0.0016240957193075002,0.0008120482088997,0.3702962637762538,0.6232073025312274,0.0008120480924844
10.1093_llc_16.3.251,0.0006721994723193,0.0020165990572421997,0.0013443991774692,0.8560249209403992,0.0013443990610539,0.1379252640763296,0.0006721995887346
10.1093_llc_16.3.265,0.0006190619897097,0.0018571865512056998,0.0012381242122499999,0.000619062280748,0.0012381239212117,0.9938093759701587,0.0006190621643327
10.1093_llc_16.3.287,0.0003576284798327,0.0010728855268097,0.0007152567850425,0.0003576283634174,0.0007152568141462999,0.9964237235253675,0.0003576285380404
10.1093_llc_16.4.353,0.0002542828733567,0.0007628484454471,0.00050856571760955,0.33183830976486206,0.0005085656594018999,0.16587314545176907,0.00025428284425285
10.1093_llc_16.4.375,0.001225815503858,0.0036774459294973997,0.0024516305420546,0.0012258156202733,0.9455796341644599,0.044613830279558606,0.0012258153874427
10.1093_llc_16.4.389,0.0004113755712751,0.00123412683024065,0.00082275125896555,0.0004113757458981,0.494240745290881,0.00246825459180385,0.00041137560037895
10.1093_llc_16.4.403,0.00026053853798656664,0.0007816155945571333,0.0005210771341808,0.00026053859619423335,0.0005210770565705667,0.3307279481280906,0.00026053855738910004
10.1093_llc_16.4.421,0.0006512790569104,0.0019538370543158,0.0013025579974055,0.000651279988233,0.0013025579391978,0.993487194413319,0.0006512789404951
10.1093_llc_16.4.445,0.0007355849375016,0.0022067549289202003,0.0891333784675225,0.4495402276515961,0.0014711702824569,0.4561772855813612,0.0007355851121246
10.1093_llc_16.4.467,0.0002649600501172,0.00079488038318225,0.00052992024575355,0.00026496098143975,0.0005299202166497499,0.4973503929504658,0.0002649601374287
10.1093_llc_18.4.341,0.0005844733677804,0.0017534198705104998,0.0011689466773531,0.991232931613922,0.0011689467937684998,0.0035068413126281,0.0005844733095727
10.1093_llc_18.4.379,0.0015250463038682,0.0045751371653748995,0.0030500916764139,0.0015250460710376,0.0030500914435832,0.9847495234571395,0.0015250459546223
10.1093_llc_18.4.389,0.0004467171384021,0.14936546015087498,0.0008934342185966,0.8410581350326538,0.0008934341021812999,0.006896165898069499,0.0004467170801945
10.1093_llc_18.4.423,0.0004465926613193,0.00133977839141145,0.3140187312674243,0.0004465929523576,0.00089318561367685,0.18240853669703924,0.00044659271952695
10.1093_llc_19.4.431,0.00019781819719355,0.0005934547516517001,0.00039563642349092504,0.000197818226297375,0.000395636379835175,0.2480218228010926,0.000197818226297375
10.1093_llc_19.4.453,0.0005125376628711,0.0015376132214440998,0.0010250754421575999,0.0005125378374941,0.0010250754421575999,0.9948746272712012,0.0005125377792865
10.1093_llc_19.4.477,0.0007717756670899,0.0023153268848544,0.0015435514505951,0.0007717759581282,0.0015435513341798,0.9922822262742551,0.0007717756670899
10.1093_llc_fqaa002,0.00017811986617743332,0.14336080618280292,0.06579135986976323,0.1223999559879303,0.0003562397129523,0.001068719313479867,0.00017811988557996667
10.1093_llc_fqaa005,0.0006948300288058,0.0020844897953792,0.001389659999404,0.9895775318145752,0.0013896600576116,0.004168980522081101,0.0006948299705982
10.1093_llc_fqaa006,0.00023606962058692,0.00070820900145916,0.00047213924117384,0.19645895957946774,0.0004721391946077199,0.00141641790978604,0.00023606962058692
10.1093_llc_fqaa007,0.0004701145808212,0.0014103437424636,0.000940229045227,0.0004701145808212,0.0009402289288117001,0.9952988658915272,0.0004701145226135
10.1093_llc_fqaa008,0.7025406956672668,0.1045759323169477,0.0008568244520574,0.1881708055734634,0.0008568243065381999,0.0025704728323031,0.000428412342444
10.1093_llc_fqaa009,0.11397169828414917,0.0003540892503224,0.00023605953902003997,0.0523013174533844,0.020510411926079518,0.01250839194981374,0.00011802978115156
10.1093_llc_fqaa010,0.0004469195555429,0.0013407582300714,0.0008938389364628,0.993296205997467,0.0008938388782552,0.0026815172168422,0.0004469194682314
10.1093_llc_fqaa011,0.08090441425641377,0.0008566177954586,0.0005710786014484333,0.00028553925221783333,0.0005710785238382334,0.001713235590917267,0.2484313646952311
10.1093_llc_fqaa014,0.00018945573538075,0.0005683671915903,0.0003789114707615,0.0001894558081403,0.00037891152896915,0.4981054491654503,0.0001894557208288
10.1093_llc_fqaa015,0.0004342639974008,0.0013027921474228,0.0008685279948016,0.0004342641526212,0.0008685280724118,0.3289907013143723,0.0004342639974008
10.1093_llc_fqaa016,0.0002718205505516,0.00081546147703185,0.0005436410719994,0.4959226846694946,0.0005436411302070501,0.0016309232159982,0.00027182049234395
10.1093_llc_fqaa017,0.00013164045521988,0.00039492138894274,0.00026328096864742005,0.05971653461456298,0.0002632808871567,0.1390987039310857,0.00013164045521988
10.1093_llc_fqaa018,0.9930512309074402,0.0013897534518036,0.0009265023400075001,0.0004632511700037,0.0009265023400074,0.0027795077767219997,0.0004632510535884
10.1093_llc_fqaa019,0.0003126578230876,0.4958757476415485,0.0006253155879676,0.0003126578230876,0.0006253156170714,0.00187594670569505,0.00037234963383525
10.1093_llc_fqaa021,0.0002894965000450333,0.32956986796731746,0.0005789929224798667,0.00028949642243483335,0.0005789928448696667,0.0017369785734141,0.0002894965000450333
10.1093_llc_fqaa022,0.0001175345823867,0.00035260347067375,0.00023506900470235,0.000117534495075225,0.00023506899015042498,0.0007052069267955751,0.2482369840145111
10.1093_llc_fqaa023,0.0005584880709648,0.9092565027531238,0.0846001578611321,0.0005584878381341,0.0011169762001372,0.0033509270288047,0.0005584880127571
10.1093_llc_fqaa024,0.026661142706871,0.0016900182235985,0.2849748293519951,0.0005633393302559,0.6821672479854897,0.0033800361561586,0.0005633394466713
10.1093_llc_fqaa025,0.00029774809566636667,0.0008932445780373666,0.04754078694774457,0.0002977481732765667,0.0005954961525276,0.001786488418777667,0.28192182381947833
10.1093_llc_fqaa027,0.00014082276417563334,0.18720648119536534,0.14457726975282034,0.0001408227253705,0.0002816454119359333,0.0008449362649115667,0.00014134560478849998
10.1093_llc_fqaa028,0.9895787835121156,0.0020842481171711,0.0013894991134291998,0.0006947496440261,0.0013894988805986,0.004168497864156601,0.0006947498186491
10.1093_llc_fqaa030,0.00028676126385105,0.000860283820657,0.0005735224694944,0.0002867612929549,0.07927739206934345,0.41842849721433584,0.00028676126385105
10.1093_llc_fqaa033,0.2466510236263275,0.00066979556868315,0.00044653032091445,0.00022326508769765,0.00044653023360295,0.00133959090453565,0.0002232651313534
10.1093_llc_fqh032,0.00040857253285743337,0.0012257178314029333,0.0008171451433251001,0.2000495195388794,0.0008171450657148667,0.12960667698644093,0.00040857253285743337
10.1093_llc_fqh041,0.3884359300136566,0.002468519087415,0.2744634424452669,0.0008228394435718,0.0016456788871436001,0.3313407464302141,0.0008228394435718
10.1093_llc_fqh042,0.000631581118796,0.0018947431817649,0.9911578997853213,0.000631581118796,0.0012631621793843,0.0037894870038142,0.0006315810605883
10.1093_llc_fqh043,0.1103921756148338,0.0031789034837856004,0.6872633099555969,0.0010596344945952,0.0021192689891904,0.1949270712211725,0.0010596343781799
10.1093_llc_fqh044,0.0005253603449091,0.5281416277284733,0.32382211583899334,0.0005253602284938,0.0010507203405722,0.0031521611381318004,0.1427826583385467
