filename	subcategory	authors	title	keywords	topics
552.xml	Short Paper	Chadier, Christine; Letricot, Rosemonde; Beretta, Francesco; Boschetto, Sylvain	Deux Projets D'Édition Numérique Dans Le Cadre Du Projet SyMoGIH: Le Journal De Léonard Michon Et Les Actes Des Synodes Des Églises Réformées De Bourgogne	édition numérique de sources historiques; base de données collaborative; système d’information géographique; Léonard Michon; Églises réformées	corpora and corpus activities; databases & dbms; encoding - theory and practice; historical studies; publishing and delivery systems; digitisation, resource creation, and discovery; text analysis; knowledge representation; xml; content analysis; digital humanities - facilities; cultural studies; visualisation; maps and mapping; spatio-temporal modeling, analysis and visualisation; standards and interoperability; French; digital humanities - diversity
275.xml	Long Paper	Jänicke, Stefan; Wrisley, David Joseph	Visualizing Mouvance: Towards an Alignment of Medieval Vernacular Text Traditions	text alignment; visualization; textual variance; medieval French	literary studies; medieval studies; french studies; philology; visualisation; folklore and oral history; English
205.xml	Poster	Ritchie, Sandy; Goodchild, Samantha; Grzech, Karolina	Mapping Languages Performance by Performance	language maps; language diversity; multilingualism; communities of practice	audio, video, multimedia; geospatial analysis, interfaces and technology; multilingual / multicultural approaches; digitisation, resource creation, and discovery; software design and development; internet / world wide web; linguistics; visualisation; crowdsourcing; maps and mapping; spatio-temporal modeling, analysis and visualisation; English; digital humanities - diversity; digital humanities - multilinguality
175.xml	Short Paper	Tang, Muh-Chyun; Cheng, Yun Jen; Chen, Kuang Hua; Hsiang, Jieh	A Study of Knowledge Integration in Digital Humanities Based on Bibliographic Analysis	network analysis; cohesion; digital humanities; bibliographic analysis	bibliographic methods / textual studies; interdisciplinary collaboration; visualisation; networks, relationships, graphs; English
668.xml	Poster	Bonch-Osmolovskaya, Anastasia; Sidorova, Elena; Skorinkin, Daniil	Verbal Identity of a Fictional Character: a Quantitative Study with a Machine Learning Experiment	literary studies; narrative; POV structure; machine learning	literary studies; text analysis; data mining / text mining; English
537.xml	Long Paper	Atkinson, Paul; Gregory, Ian; Porter, Catherine	Combining Corpora and Statistics using Geographical Technologies: New Evidence on Nineteenth Century Infant Mortality Decline in England and Wales	GIS; corpus linguistics; newspapers; infant mortality	corpora and corpus activities; geospatial analysis, interfaces and technology; historical studies; English
60.xml	Long Paper	Roe, Glenn; Gladstone, Clovis; Morrissey, Robert; Olsen, Mark	Digging into ECCO: Identifying Commonplaces and other Forms of Text Reuse at Scale	sequence alignment; commonplaces; big data; eighteenth century studies; print culture	historical studies; digitisation, resource creation, and discovery; text analysis; bibliographic methods / textual studies; english studies; data mining / text mining; English
522.xml	Long Paper	Swafford, Joanna Elizabeth	Read, Play, Build: Teaching Sherlock Holmes through Digital Humanities	pedagogy; literature; GIS; archives; English	teaching and pedagogy; literary studies; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; english studies; English
52.xml	Short Paper	Siemens, Lynne	Change, Transition and Governance: Lessons from a Long-Term, Large Scale DH Collaboration	collaboration; project management; INKE	digital humanities - institutional support; project design, organization, management; interdisciplinary collaboration; English
530.xml	Long Paper	Rindfleisch, Carolin	Modelling Music Reception: An Ontology For Representing Interpretations of Richard Wagner's Leitmotifs	musicology; reception study; ontology; Semantic Web	archives, repositories, sustainability and preservation; metadata; data modeling and architecture including hypothesis-driven modeling; music; ontologies; semantic analysis; text analysis; knowledge representation; content analysis; bibliographic methods / textual studies; semantic web; linking and annotation; English
154.xml	Poster	Schulz, Sarah; Kuhn, Jonas; Reiter, Nils	Authorship Attribution of Mediaeval German Text: Style and Contents in Apollonius von Tyrland 	Middle High German; authorship attibution; content; style	medieval studies; stylistics and stylometry; authorship attribution / authority; content analysis; English
303.xml	Long Paper	Shepard, David Lawrence; Hashimoto, Takako; Kuboyama, Tetsuji; Shin, Kilho	What Do Boy Bands Tell Us About Disasters? The Social Media Response to the Nepal Earthquake 	social media; event detection; text mining	natural language processing; social media; data mining / text mining; English
158.xml	Short Paper	Manchio, Corinne; Lasson, Marc	Méthodes computationnelles et analyse d'une langue de chancellerie : le logiciel d'analyse textuelle Machiato et la correspondance diplomatique et administrative de Machiavel	Digital Humanities; Renaissance Studies; Machiavelli; computational linguistics; Politics	historical studies; lexicography; medieval studies; semantic analysis; text analysis; italian studies; digital humanities - facilities; renaissance studies; French; digital humanities - diversity
710.xml	Pre-Conference Workshop and Tutorial	Herrmann, J. Berenike; Frontini, Francesca; Gemma, Marissa	Digital Literary Stylistics Workshop	Stylistics; digital literary studies; authorship attribution; corpus linguistics; methods; epistemology	corpora and corpus activities; encoding - theory and practice; literary studies; natural language processing; prosodic studies; digitisation, resource creation, and discovery; semantic analysis; stylistics and stylometry; text analysis; french studies; philology; authorship attribution / authority; linguistics; programming; query languages; genre-specific studies: prose, poetry, drama; english studies; german studies; linking and annotation; data mining / text mining; English; rhetorical studies
