authors	url (pdf)	licence	title	keywords
Ables, Mollie Kathleen; Gniady, Tassie; Craig, Kalani; Thomas, Grace; Hochstetter, Adam	https://dh2017.adho.org/abstracts/615/615.pdf	cc-by	Using Archival Texts to Create Network Graphs of Musicians in Early Modern Venice	networks, archives, Venice, musicians
Aguiar, Daniella; Queiroz, Joao; Casteloes, Luiz	https://dh2017.adho.org/abstracts/581/581.pdf	cc-by	VIA: video-dance, computer-assisted composition and mobile technology	videodance, computer-assisted composition, mobile technology
Akbari, Suzanne; Bolintineanu, Alexandra	https://dh2017.adho.org/abstracts/608/608.pdf	cc-by	Getting Medieval: Open Access and Networked Pedagogy	medieval studies, pedagogy, digital collections, networked teaching, open access
Akdag Salah, Alkım Almıla; Salah, Albert Ali	https://dh2017.adho.org/abstracts/490/490.pdf	cc-by	Tracing the Colors of Clothing in Paintings with Image Analysis	Color tracing, clothing color, gender recognition on paintings, face detection on paintings
Akça, Sümeyye	https://dh2017.adho.org/abstracts/501/501.pdf	cc-by	How does Google Cultural Institute Affect the Collections of Museums? The Case of Turkey	Google Cultural Institute, Information and communication technologies (ICT), visibility, access
Alexander, Marc; Struan, Andrew	https://dh2017.adho.org/abstracts/007/007.pdf	cc-by	Digital Hansard – Politics and the Uncivil	history, politics, Hansard, corpora, Historical Thesaurus
Algee-Hewitt, Mark Andrew; McClure, David; Walser, Hannah	https://dh2017.adho.org/abstracts/416/416.pdf	cc-by	Reconstructing Readerly Attention: Citational Practices and the Canon, 1789-2016	sequence alignment, reception theory, text mining, narrative studies
Anderson, Mark; Scates Kettler, Hannah	https://dh2017.adho.org/abstracts/323/323.pdf	cc-by	Coffee Zone: Del cafetal al futuro / From the coffee fields to the future	Spanish, transcription, translation
Applegate, Matt	https://dh2017.adho.org/abstracts/190/190.pdf	cc-by	Digital Humanities as Critical University Studies	Critical University Studies, Decolonial Feminism, Autonomist Marxist, Critical Infrastructure Studies
Ares Oliveira, Sofia; Kaplan, Frederic; di Lenardo, Isabella	https://dh2017.adho.org/abstracts/169/169.pdf	cc-by	Machine Vision Algorithms On Cadaster Plans	computer vision, image processing, cadasters, maps
Armaselu, Florentina; Jones, Catherine Emma	https://dh2017.adho.org/abstracts/547/547.pdf	cc-by	From Usability Testing and Text Analysis to User-Response Criticism	Human-Computer Interaction, usability tests, text analysis, digital aesthetics
Armoza, Jonathan Ilan	https://dh2017.adho.org/abstracts/238/238.pdf	cc-by	How to Close Read a Topic Model: TWiC Reads Emily Dickinson&#8217;s Fascicles	topic modeling, close reading, distant reading, bibliography, nineteenth century american
Arnold, Taylor Baillie; Tilton, Lauren Craig	https://dh2017.adho.org/abstracts/475/475.pdf	cc-by	Distant Seeing TV	television studies, computer vision, media studies
Arora, Shaifali; Menon, Nirmala	https://dh2017.adho.org/abstracts/081/081.pdf	cc-by	1947Partition On The Margins: The Untold Testimonies Of Sikh, Bahawalpur And Marwari Communities	Digital Archive, Preservation, Open Access, 1947Partition Testimonies, Geo-cultural
Arriaga, Eduard; Villar, Andrés; Captain-Hidalgo, Yvone; Martino, Maria Cecilia	https://dh2017.adho.org/abstracts/524/524.pdf	cc-by	Accessing Alternative Histories and Futures: Afro-Latin American Models for the Digital Humanities	Afro-Latin American, Digital Archives, International Organization, Diversity
Bahde, Anne; Crawford, Cole	https://dh2017.adho.org/abstracts/556/556.pdf	cc-by	Data Visualization in Archival Finding Aids: A New Paradigm for Access	Visualization; archives; access; finding aids; modeling
Bailey-Ross, Claire; Beresford, Andrew; Smith, Daniel; Warwick, Claire	https://dh2017.adho.org/abstracts/333/333.pdf	cc-by	Aesthetic Appreciation And Spanish Art: Insights from Eye-Tracking	Eye-Tracking, Museums, Visitor Studies, Aesthetic Appreciation, Spanish Art
Baillot, Anne; Puren, Marie; Riondet, Charles; Romary, Laurent	https://dh2017.adho.org/abstracts/345/345.pdf	cc-by	Access To Cultural Heritage Data: A Challenge For The Digital Humanities	data reuse, standards, open access, cultural heritage
Bamman, David	https://dh2017.adho.org/abstracts/408/408.pdf	cc-by	Natural Language Processing for the Long Tail	natural language processing, linguistic annotation
Barbaresi, Adrien	https://dh2017.adho.org/abstracts/209/209.pdf	cc-by	Toponyms as Entry Points into a Digital Edition: Mapping The Torch (1899-1936)	Geohumanities, Spatial Humanities, Litarary History, Toponym Extraction, Gazetteers
Bardiot, Clarisse	https://dh2017.adho.org/abstracts/635/635.pdf	cc-by	MemoRekall Video Capsules : a combination of both intra and inter-documentary approaches to address the documentation of performing arts.	video, theatre
Bassett, Caroline; Berry, David M.; Fazi, M. Beatrice; Pay, Jack; Roberts, Ben	https://dh2017.adho.org/abstracts/509/509.pdf	cc-by	Critical Digital Humanities and Machine-Learning	Informating, Augmentation, Automation, Critical Digital Humanities, Theory, Philosophy
Bauer, Jean Ann; Symonds, Matthew; Grafton, Anthony; Rampling, Jennifer; Chenoweth, Katie; Flow, Christian	https://dh2017.adho.org/abstracts/583/583.pdf	cc-by	Archeologies of Reading: Modeling and Recreating the Annotation Practices of Gabriel Harvey, John Dee, Jacques Derrida, and the Winthrop Family	annotation, marginalia, book history, derrida
Beals, M. H.	https://dh2017.adho.org/abstracts/500/500.pdf	cc-by	Binary Truths: Developing a Linked Data Model for Historiographical Arguments	history, semantic web, rhetoric, historiography
Beaulieu, Marie-Claire; Baumgardt, Frederik; Almas, Bridget	https://dh2017.adho.org/abstracts/330/330.pdf	cc-by	Perseids and Plokamos: Weaving pedagogy, data models and tools for social network annotation	pedagogy, mythology, social networks, annotation
Beierle, Christoph; Blößner, Norbert; Kruse, Sebastian	https://dh2017.adho.org/abstracts/523/523.pdf	cc-by	Using Methods of Computational Linguistics for Resolving the &#8220;Homeric Question&#8221;	Homer, Homeric Question, Greek Epics, Computational Linguistics
Bellia, Angela	https://dh2017.adho.org/abstracts/106/106.pdf	cc-by	Towards a New Approach in the Study of Ancient Greek Music: The Virtual Reconstruction of an Aulos “Early type” from Sicily	Aulos; Selinunte; New York University; Digital Reconstrauction
Belyak, Gabriel	https://dh2017.adho.org/abstracts/552/552.pdf	cc-by	Pushkin Digital Project	Pushkin, critical edition, popularization, intuitive interface
Benedict, Nora Christine	https://dh2017.adho.org/abstracts/462/462.pdf	cc-by	&#8220;Mapping Borges in the Argentine Publishing Industry (1930-1951)&#8221;	Borges, publishing, mapping, books, materiality
Berens, Kathi Inman	https://dh2017.adho.org/abstracts/595/595.pdf	cc-by	Rewards: Books, Boundedness and Reading in Participatory Culture	playable_books, hypertext, social_media, book_publishing, gender
Bermeitinger, Bernhard; Donig, Simon; Christoforaki, Maria; Freitas, André; Handschuh, Siegfried	https://dh2017.adho.org/abstracts/590/590.pdf	cc-by	Object Classification in Images of Neoclassical Artifacts Using Deep Learning	Neoclassicism, Deep Learning, Furniture, Art History
Berra, Aurélien	https://dh2017.adho.org/abstracts/385/385.pdf	cc-by	Embedding Digital Humanities in a Classics Master Programme	Classics, disciplines, pedagogy, models, digital literacy
Berra, Aurélien; Hannesschläger, Vanessa; Gaffield, Chad; Larrousse, Nicolas; Priddy, Mike; Ribbe, Paulin; Thiel, Carsten	https://dh2017.adho.org/abstracts/075/075.pdf	cc-by	Scaling up Arts and Humanities &#8211; The DARIAH Approach to Data and Services	DARIAH, Interoperability, community, sustainability, teaching
Berthereau, Daniel	https://dh2017.adho.org/abstracts/668/668.pdf	cc-by	Construire sa Bibliothèque Numérique avec l’Outil Libre Omeka pour Valoriser ses Documents Numérisés	digital library, exhibit, publishing, metadata sharing, semantic web
