"natural language processing"
"word embedding"
"sentiment analysis"
"data model"
"conceptual model"
"3d model"
"topic model"
"formal model"
"language model"
"semantic model"
"computational model"
"information system"
"semantic annotation"
"semantic enrichment"
"semantic link"
"resource descriprion framework"
"training corpus"
"training dataset"
"annotated corpus"
"annotated dataset"
"corpus collection"
"dataset collection"
"digital library"
"authorship attribution"
"cultural heritage"
"digital content"
"linked data"
"digital humanities"
