	authors	category	filename	keywords	subcategory	title	topics
0	Fischer, Frank; Strötgen, Jannik	Paper	FISCHER_Frank_When_Does__German__Literature_Take_Place_.xml	temporal tagging; literary studies; corpus analysis	Long Paper	When Does (German) Literature Take Place? – On the Analysis of Temporal Expressions in Large Corpora	corpora and corpus activities; information retrieval; literary studies; text analysis; german studies; English
1	Coleman, Catherine Nicole; Caviglia, Giorgio; Comsa, Maria; Braude, Mark; Edelstein, Dan; Ceserani, Giovanna	Paper	COLEMAN_Catherine_Nicole_From_Mapping_the_Republic_of_L.xml	knowledge design; interface design; open design; visualization	Long Paper	From Mapping the Republic of Letters to Humanities +Design Research Lab: Creating Visualization Tools for Humanistic Inquiry	interface and user experience design; software design and development; knowledge representation; visualisation; networks; relationships; graphs; spatio-temporal modeling; analysis and visualisation; English
2	Burrows, Toby Nicolas	Paper	BURROWS_Toby_Nicolas_The_History_and_Provenance_of_Cult.xml	Cultural heritage; provenance; manuscripts; graph databases	Long Paper	The History and Provenance of Cultural Heritage Collections: New Approaches to Analysis and Visualization	medieval studies; metadata; GLAM: galleries; libraries; archives; museums; networks; relationships; graphs; English
3	Tagliaferri, Lisa	Paper	TAGLIAFERRI_Lisa_Mapping_the_Futures_of_Higher_Educatio.xml	higher education; pedagogy; digital humanities; gis	Short Paper	Mapping the Futures of Higher Education: Teaching, Learning and Research in the Age of Google	geospatial analysis; interfaces and technology; digital humanities - institutional support; digital humanities - pedagogy and curriculum; English
4	Webb-Gannon, Camellia Bell; Webb, Michael; Dick, Tom; Stern, Monika; Crowdy, Denis	Paper	WEBB_GANNON_Camellia_Bell_Digital_Musical_Industry_and_.xml	Melanesia; music; digital media; justice; identity	Panel / Multiple Paper Session	Digital Musical Industry and Identity in Melanesia	audio; video; multimedia; interdisciplinary collaboration; creative and performing arts; including writing; anthropology; cultural infrastructure; English
5	Ciula, Arianna; Eide, Øyvind	Paper	EIDE__yvind_Contextual_Modelling_in_Digital_Humanities.xml	modelling; semiotics	Long Paper	Contextual Modelling in Digital Humanities	historical studies; data modeling and architecture including hypothesis-driven modeling; semantic analysis; English
6	Shrout, Anelise Hanson; Christian-Lamb, Caitlin	Paper	SHROUT_Anelise_Hanson_Starting_from_Scratch___Strategie.xml	undergraduate; pedagogy; liberal arts; curricula	Pre-Conference Workshop and Tutorial (Round 2)	Starting from Scratch?: Strategies for Building Undergraduate-Centered #DH Programs	digital humanities - institutional support; teaching and pedagogy; digital humanities - facilities; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; crowdsourcing; English
7	Broadwell, Peter Michael; Tangherlini, Timothy R	Paper	BROADWELL_Peter_Michael_ElfYelp__Geolocated_Topic_Model.xml	geospatial search; topic modeling; text mining; mapping; computational folkloristics	Long Paper	ElfYelp: Geolocated Topic Models for Pattern Discovery in a Large Folklore Corpus	geospatial analysis; interfaces and technology; information retrieval; text analysis; folklore and oral history; maps and mapping; data mining / text mining; English
8	Kitamoto, Asanobu	Paper	KITAMOTO_Asanobu_Senga__Participatory_Curation_and_the_.xml	museum; participatory curation; mathematical model; exhibition; analysis	Long Paper	Senga: Participatory Curation and the Mathematical Model of Exhibition	interface and user experience design; internet / world wide web; GLAM: galleries; libraries; archives; museums; crowdsourcing; English
9	chaki, Rituparna	Paper	CHAKI_Rituparna_Remote_Health_Support_System_for_Pregna.xml	Health support; Rural areas; Vehicular Adhoc Network; Sensor Network; Response	Pre-Conference Workshop and Tutorial (Round 2)	Remote Health Support System for Pregnant Women in Rural Areas	networks; relationships; graphs; English
