Journal,Provider,Abstract,Affiliation,CF,Comments
ADHO,website ?,"yes ",??,"yes (only) ",da fare
"Computers and the Humanities ",website (bib) 104/104,yes,no - valutare coi pdf - fare scraper anche per autori bad format,no,sistemare autori e aff con scraper
"Computers in the Humanities Working Papers ","by hand from web 37/37 ",yes,"yes ","no ",
Digital Humanities Quarterly (DHQ),"XML locale ",yes,"yes ","no ",
"Digital Literary Studies ",by hand from web 4/4,yes,"yes ","no ",
"Digital_Medievalist ",Crossref 45/80,yes,yes,"no ",
Digital_Philology,"Crossref 101/101 ",yes,"ha le affiliazioni solo nei pdf, sono 100 articoli......","no ",
DSH,"Crossref 822/904 ",no,"yes ",no,(cant access 700 sono null!)
"Digital Studies / Le champ numérique ",Crossref 84/88,yes,yes,"yes ",
Digitális Bölcsészet,Crossref 18/18,yes,yes (ma pochissime - anche guardando su sito),"no ",
Frontiers in Digital Humanities,Crossref 42/51,yes,yes,"no ",
Humanist Studies & the Digital Age,Crossref 9/14,yes,yes,yes,"some titles in italian? and abstracts "
"IJHAC ",bib 146/146,yes,"vedi appunti ",no,"no "
International Journal for Digital Art History,Datacite 36/36,yes,PDF: in fondo ai pdf bio degli autori :/,no,
International Journal of Digital Curation,"Crossref 173/177 ",yes,"non c'è proprio scritta su sito, bisogna aprire a mano il pdf",no,
"International Journal of Digital Humanities ",Crossref 21/22,yes,yes,"no ",
"JOCCH ","Crossref 201/243 ",yes,"yes ","no ",
"Journal_of_Cultural_Analytics ",crossref 43/47,yes,vedi appunti,"no ",
Journal of Data Mining and Digital Humanities,by hand from webs 52/52,yes,"yes ",no,wrong name/surname sistemare in generale
Journal of Digital Archives and Digital Humanities,by hand from webs 21/21,yes,"taiwanese, non si trovano, amen!","no ",
Journal of Open Humanities Data,website 3/3,yes,yes,no,-
"Japanese_Association_for_Digital_Humanities ",Crossref 26/26,yes,yes,"no ",
Jahrbuch für Computerphilologie,website,87. what to do?,...,,
TEI,Crossref 16/16,yes,define scraper,yes,
"Umanistica Digitale ",Datacite 39/39,yes,yes,yes,
Zeitschrift ...,website 73/74,yes,yes,no,some titles in german keywords were in german cancelled
