Journal,Provider,Abstract,Affiliation,CF,Comments
ADHO,website ?,"yes ",??,"yes (only) ",da fare
"Computers and the Humanities ",website (bib) 104/104,yes,no - valutare coi pdf - fare scraper anche per autori bad format,no,sistemare autori e aff con scraper
"Computers in the Humanities Working Papers ","by hand from web 37/37 ",yes,"yes ","no ",
Digital Humanities Quarterly (DHQ),"XML locale ",yes,"yes ","no ",
"Digital Literary Studies ",by hand from web 4/4,yes,"yes ","no ",
"Digital_Medievalist ",Crossref 45/80,yes,yes,"no ",
Digital_Philology,"Crossref 101/101 ",yes,yes,"no ",
DSH,"Crossref 822/904 ",no,"yes ",no,(cant access 700 sono null!)
"Digital Studies / Le champ numérique ",Crossref 84/88,yes,yes,"yes ",fatto a mano però, non c'erano scritti sul sito
Digitális Bölcsészet,Crossref 18/18,yes,yes (ma pochissime - anche guardando su sito),"no ",
Frontiers in Digital Humanities,Crossref 42/51,yes,yes,"no ",
Humanist Studies & the Digital Age,Crossref 9/14,yes,yes,yes,"some titles in italian? and abstracts "
"IJHAC ",bib 146/146,yes,yes,no,affiliations by hand totally and with inferences
International Journal for Digital Art History,Datacite 36/36,yes,yes,no,
International Journal of Digital Curation,"Crossref 173/177 ",yes,yes,no,by hand from pdfs
"International Journal of Digital Humanities ",Crossref 21/22,yes,yes,"no ",
"JOCCH ","Crossref 201/243 ",yes,"yes ","no ",
"Journal_of_Cultural_Analytics ",crossref 43/47,yes,yes,"no ",fatte a mano facendo inferenze da google scholar e siti personali
Journal of Data Mining and Digital Humanities,by hand from webs 52/52,yes,"yes ",no,
Journal of Digital Archives and Digital Humanities,by hand from webs 21/21,yes,"taiwanese, non si trovano, amen!","no ",
Journal of Open Humanities Data,website 3/3,yes,yes,no,-
"Japanese_Association_for_Digital_Humanities ",Crossref 26/26,yes,yes,"no ",
Jahrbuch für Computerphilologie,website,yes,yes,no,
TEI,Crossref 16/16,yes,yes,yes,
"Umanistica Digitale ",Datacite 39/39,yes,yes,yes,
Zeitschrift ...,website 73/74,yes,yes,no,some titles in german keywords were in german cancelled
